,host,method,t_number,resolution,subunits,NSC,sasa,radius_inner,radius_ave,radius_outer,diameter_inner,diametr_ave,diameter_outer,pdb,uniprot_id
342,Humans,ELECTRON MICROSCOPY,1,2.1,60,-180 e- per virion,"8,576.8 Å² × 60",84Å,138Å,139Å,168Å,276Å,278Å,7kp3,
343,Humans,ELECTRON MICROSCOPY,1,2.5,60,,"13,293.3 Å² × 60",84Å,141Å,146Å,168Å,282Å,292Å,7kpn,Q8IZA0
344,Humans,ELECTRON MICROSCOPY,1,3.23,60,-180 e- per virion,"13,001.6 Å² × 60",84Å,152Å,155Å,168Å,304Å,310Å,7wjx,
345,Humans,ELECTRON MICROSCOPY,1,3.76,60,-240 e- per virion,"12,992.7 Å² × 60",84Å,153Å,157Å,168Å,306Å,314Å,7wqp,
346,Humans,ELECTRON MICROSCOPY,1,2.7,60,-420 e- per virion,"10,523.2 Å² × 60",86Å,139Å,148Å,172Å,278Å,296Å,7jot,
347,Human,ELECTRON MICROSCOPY,1,2.56,60,-120 e- per virion,"10,011.3 Å² × 60",86Å,142Å,148Å,172Å,284Å,296Å,6u95,Q6JC19
348,Humans,ELECTRON MICROSCOPY,1,2.43,60,-240 e- per virion,"9,795.7 Å² × 60",84Å,140Å,148Å,168Å,280Å,296Å,7rwt,
349,Human,ELECTRON MICROSCOPY,1,2.78,60,-300 e- per virion,"10,131.1 Å² × 60",85Å,141Å,148Å,170Å,282Å,296Å,6cbe,
350,Bat,X-RAY DIFFRACTION,1,3.03,60,-120 e- per virion,"9,934.4 Å² × 60",85Å,139Å,142Å,170Å,278Å,284Å,6wfu,
351,Bat,X-RAY DIFFRACTION,1,3.03,60,-60 e- per virion,"9,717.9 Å² × 60",85Å,139Å,141Å,170Å,278Å,282Å,6wft,
352,Human,X-RAY DIFFRACTION,1,2.75,60,-180 e- per virion,"10,068.2 Å² × 60",83Å,139Å,146Å,166Å,278Å,292Å,6o9r,
353,Human,X-RAY DIFFRACTION,1,3.77,60,-60 e- per virion,"11,331.8 Å² × 60",81Å,141Å,148Å,162Å,282Å,296Å,6v10,
354,Human,X-RAY DIFFRACTION,1,3.08,60,-180 e- per virion,"11,136.6 Å² × 60",81Å,141Å,148Å,162Å,282Å,296Å,6v12,
355,Human,X-RAY DIFFRACTION,1,2.98,60,-120 e- per virion,"10,184.5 Å² × 60",82Å,140Å,146Å,164Å,280Å,292Å,6v1g,
356,Human,X-RAY DIFFRACTION,1,3.39,60,-120 e- per virion,"10,685.8 Å² × 60",81Å,138Å,146Å,162Å,276Å,292Å,6v1t,
357,Human,X-RAY DIFFRACTION,1,3.58,60,-180 e- per virion,"10,390.5 Å² × 60",82Å,140Å,147Å,164Å,280Å,294Å,6v1z,
358,Human,ELECTRON MICROSCOPY,1,3.35,60,-360 e- per virion,"9,751.3 Å² × 60",84Å,145Å,146Å,168Å,290Å,292Å,7na6,
359,Humans,ELECTRON MICROSCOPY,1,2.4,60,-360 e- per virion,"13,743.6 Å² × 60",84Å,153Å,156Å,168Å,306Å,312Å,6nz0,
360,Humans,ELECTRON MICROSCOPY,1,2.24,60,-240 e- per virion,"9,709.1 Å² × 60",83Å,139Å,144Å,166Å,278Å,288Å,7ud4,
361,Humans,ELECTRON MICROSCOPY,1,2.32,60,-480 e- per virion,"9,755.7 Å² × 60",84Å,141Å,144Å,168Å,282Å,288Å,7rk9,
362,Humans,ELECTRON MICROSCOPY,1,2.27,60,-120 e- per virion,"10,062.0 Å² × 60",84Å,140Å,146Å,168Å,280Å,292Å,7rk8,
363,Human,ELECTRON MICROSCOPY,1,2.91,60,-300 e- per virion,"10,625.0 Å² × 60",84Å,143Å,148Å,168Å,286Å,296Å,6u0r,
364,Human,ELECTRON MICROSCOPY,1,3.02,60,-240 e- per virion,"9,878.7 Å² × 60",84Å,137Å,148Å,168Å,274Å,296Å,6u0v,
365,Animal,X-RAY DIFFRACTION,1,2.6,60,-240 e- per virion,"9,584.1 Å² × 60",84Å,141Å,145Å,168Å,282Å,290Å,3kic,
366,Animal,X-RAY DIFFRACTION,1,3.0,60,-300 e- per virion,"9,719.7 Å² × 60",83Å,141Å,146Å,166Å,282Å,292Å,3kie,
367,Animal,ELECTRON MICROSCOPY,1,4.8,60,-60 e- per virion,"8,942.4 Å² × 60",84Å,139Å,145Å,168Å,278Å,290Å,3j4p,
368,Humans,ELECTRON MICROSCOPY,1,3.14,60,-240 e- per virion,"9,696.3 Å² × 60",84Å,140Å,147Å,168Å,280Å,294Å,7rwl,
369,Humans,ELECTRON MICROSCOPY,1,3.1,60,-360 e- per virion,"9,960.8 Å² × 60",85Å,141Å,144Å,170Å,282Å,288Å,8a9u,O56139
370,Humans,X-RAY DIFFRACTION,1,3.16,60,-360 e- per virion,"12,200.8 Å² × 60",84Å,162Å,162Å,168Å,324Å,324Å,6nxe,
371,Snake,ELECTRON MICROSCOPY,1,2.66,60,-240 e- per virion,"9,593.5 Å² × 60",85Å,138Å,139Å,170Å,276Å,278Å,7u97,
372,Snake,ELECTRON MICROSCOPY,1,2.14,60,-180 e- per virion,"9,843.8 Å² × 60",86Å,139Å,141Å,172Å,278Å,282Å,7u96,
373,Snake,ELECTRON MICROSCOPY,1,2.73,60,-240 e- per virion,"9,489.7 Å² × 60",85Å,138Å,139Å,170Å,276Å,278Å,7u95,
374,Snake,ELECTRON MICROSCOPY,1,3.25,60,-180 e- per virion,"9,727.0 Å² × 60",86Å,139Å,141Å,172Å,278Å,282Å,7u94,
375,Human,X-RAY DIFFRACTION,1,2.46,60,-480 e- per virion,"9,752.5 Å² × 60",84Å,140Å,149Å,168Å,280Å,298Å,6u3q,
376,,X-RAY DIFFRACTION,1,2.8,60,-240 e- per virion,"9,484.8 Å² × 60",84Å,139Å,145Å,168Å,278Å,290Å,3ux1,
377,Human,X-RAY DIFFRACTION,1,3.0,60,-240 e- per virion,"9,476.1 Å² × 60",84Å,139Å,145Å,168Å,278Å,290Å,3oah,O56137
378,,X-RAY DIFFRACTION,1,3.45,60,,"8,716.7 Å² × 60",83Å,137Å,139Å,166Å,274Å,278Å,3ntt,
379,,X-RAY DIFFRACTION,1,2.7,60,-240 e- per virion,"9,989.0 Å² × 60",84Å,140Å,146Å,168Å,280Å,292Å,3ra2,
380,,X-RAY DIFFRACTION,1,2.7,60,-120 e- per virion,"9,646.2 Å² × 60",84Å,137Å,146Å,168Å,274Å,292Å,3ra4,
381,,X-RAY DIFFRACTION,1,2.7,60,-120 e- per virion,"9,931.8 Å² × 60",84Å,137Å,147Å,168Å,274Å,294Å,3ra8,
382,,X-RAY DIFFRACTION,1,2.7,60,-120 e- per virion,"9,724.7 Å² × 60",84Å,140Å,146Å,168Å,280Å,292Å,3ra9,
383,,X-RAY DIFFRACTION,1,3.2,60,-120 e- per virion,"9,554.5 Å² × 60",84Å,139Å,146Å,168Å,278Å,292Å,3raa,Q8JQF8
384,,X-RAY DIFFRACTION,1,3.2,60,+120 e- per virion,"9,599.5 Å² × 60",84Å,140Å,141Å,168Å,280Å,282Å,2g8g,
385,,ELECTRON MICROSCOPY,1,4.5,60,-120 e- per virion,"9,408.7 Å² × 60",84Å,138Å,147Å,168Å,276Å,294Å,3j1q,3J1Q
386,,X-RAY DIFFRACTION,1,2.6,60,-120 e- per virion,"9,473.9 Å² × 60",83Å,137Å,145Å,166Å,274Å,290Å,2qa0,Q8JQF8
387,Human,ELECTRON MICROSCOPY,1,3.87,60,-300 e- per virion,"9,287.9 Å² × 60",84Å,139Å,145Å,168Å,278Å,290Å,7wjw,
388,Humans,ELECTRON MICROSCOPY,1,2.85,60,-180 e- per virion,"10,506.1 Å² × 60",84Å,139Å,145Å,168Å,278Å,290Å,7wqo,
389,Human,ELECTRON MICROSCOPY,1,3.8,60,-300 e- per virion,"10,409.5 Å² × 60",82Å,141Å,144Å,164Å,282Å,288Å,5ipi,
390,,ELECTRON MICROSCOPY,1,8.5,60,-240 e- per virion,"25,515.5 Å² × 60",84Å,186Å,189Å,168Å,372Å,378Å,3j1s,P03135
391,Humans,ELECTRON MICROSCOPY,1,2.99,60,-120 e- per virion,"9,975.7 Å² × 60",84Å,140Å,145Å,168Å,280Å,290Å,7mtw,
392,Humans,ELECTRON MICROSCOPY,1,2.67,60,-120 e- per virion,"10,050.3 Å² × 60",84Å,140Å,145Å,168Å,280Å,290Å,7mtg,
393,Humans,ELECTRON MICROSCOPY,1,2.82,60,-120 e- per virion,"9,827.9 Å² × 60",83Å,137Å,145Å,166Å,274Å,290Å,7mt0,
394,Humans,ELECTRON MICROSCOPY,1,2.68,60,-120 e- per virion,"9,722.6 Å² × 60",84Å,139Å,145Å,168Å,278Å,290Å,7mua,
395,Humans,ELECTRON MICROSCOPY,1,2.43,60,-60 e- per virion,"9,528.0 Å² × 60",84Å,139Å,144Å,168Å,278Å,288Å,7mtz,
396,Human,X-RAY DIFFRACTION,1,3.01,60,-480 e- per virion,"9,375.4 Å² × 60",84Å,139Å,144Å,168Å,278Å,288Å,5egc,
397,Human,ELECTRON MICROSCOPY,1,3.7,60,-360 e- per virion,"10,464.1 Å² × 60",83Å,141Å,145Å,166Å,282Å,290Å,5ipk,
398,,X-RAY DIFFRACTION,1,2.5,60,-360 e- per virion,"9,153.5 Å² × 60",84Å,139Å,144Å,168Å,278Å,288Å,3ng9,
399,Human,X-RAY DIFFRACTION,1,3.02,60,-420 e- per virion,"9,550.8 Å² × 60",84Å,139Å,144Å,168Å,278Å,288Å,3shm,
400,Human,X-RAY DIFFRACTION,1,3.0,60,-300 e- per virion,"9,465.1 Å² × 60",84Å,143Å,144Å,168Å,286Å,288Å,4v86,
401,Human,ELECTRON MICROSCOPY,1,1.86,60,-180 e- per virion,"9,276.3 Å² × 60",84Å,139Å,147Å,168Å,278Å,294Å,6e9d,
402,Human,ELECTRON MICROSCOPY,1,3.09,60,-120 e- per virion,"9,771.8 Å² × 60",83Å,139Å,145Å,166Å,278Å,290Å,7s1w,
403,Humans,ELECTRON MICROSCOPY,1,2.86,60,-300 e- per virion,"9,596.0 Å² × 60",84Å,140Å,142Å,168Å,280Å,284Å,7l6f,
404,Humans,ELECTRON MICROSCOPY,1,2.54,60,+60 e- per virion,"9,438.9 Å² × 60",84Å,140Å,142Å,168Å,280Å,284Å,7l6b,
405,Humans,ELECTRON MICROSCOPY,1,2.76,60,-240 e- per virion,"9,472.4 Å² × 60",84Å,139Å,143Å,168Å,278Å,286Å,7l6i,
406,Humans,ELECTRON MICROSCOPY,1,2.96,60,-300 e- per virion,"9,734.6 Å² × 60",84Å,140Å,146Å,168Å,280Å,292Å,7l5q,
407,Humans,ELECTRON MICROSCOPY,1,3.16,60,-300 e- per virion,"9,949.8 Å² × 60",83Å,139Å,146Å,166Å,278Å,292Å,7l5u,
408,Humans,ELECTRON MICROSCOPY,1,3.15,60,-300 e- per virion,"9,694.3 Å² × 60",84Å,140Å,142Å,168Å,280Å,284Å,7l6e,
409,Humans,ELECTRON MICROSCOPY,1,2.67,60,,"9,320.2 Å² × 60",84Å,140Å,142Å,168Å,280Å,284Å,7l6a,
410,Humans,ELECTRON MICROSCOPY,1,3.0,60,-240 e- per virion,"9,796.4 Å² × 60",83Å,139Å,143Å,166Å,278Å,286Å,7l6h,
411,Animal,X-RAY DIFFRACTION,1,3.5,60,+120 e- per virion,"9,591.4 Å² × 60",84Å,140Å,143Å,168Å,280Å,286Å,4iov,
412,Human,X-RAY DIFFRACTION,1,3.5,60,-120 e- per virion,"9,603.6 Å² × 60",82Å,139Å,144Å,164Å,278Å,288Å,4rso,
413,Humans,ELECTRON MICROSCOPY,1,2.79,60,,"9,691.5 Å² × 60",84Å,140Å,145Å,168Å,280Å,290Å,7mtp,
414,Human,ELECTRON MICROSCOPY,1,3.22,60,,"17,836.8 Å² × 60",84Å,156Å,157Å,168Å,312Å,314Å,6nn3,Q75U93
415,,X-RAY DIFFRACTION,1,3.5,60,-240 e- per virion,"11,361.9 Å² × 60",79Å,135Å,136Å,158Å,270Å,272Å,1s58,
416,,X-RAY DIFFRACTION,1,3.0,60,-420 e- per virion,"11,411.7 Å² × 60",81Å,139Å,144Å,162Å,278Å,288Å,1c8d,1942782
417,,X-RAY DIFFRACTION,1,3.3,60,-540 e- per virion,"10,717.9 Å² × 60",80Å,138Å,142Å,160Å,276Å,284Å,1p5w,P17455
418,,X-RAY DIFFRACTION,1,3.2,60,-600 e- per virion,"10,917.0 Å² × 60",81Å,138Å,142Å,162Å,276Å,284Å,1p5y,P30129
419,,X-RAY DIFFRACTION,1,3.0,60,-480 e- per virion,"11,566.9 Å² × 60",80Å,138Å,143Å,160Å,276Å,286Å,2cas,P17455
420,Animal,ELECTRON MICROSCOPY,1,2.9,60,-120 e- per virion,"19,511.1 Å² × 60",80Å,169Å,177Å,160Å,338Å,354Å,3jcx,B2ZG07
421,,X-RAY DIFFRACTION,1,2.9,60,-600 e- per virion,"11,025.0 Å² × 60",81Å,139Å,142Å,162Å,278Å,284Å,4dpv,P17455
422,,X-RAY DIFFRACTION,1,3.5,60,-660 e- per virion,"11,174.6 Å² × 60",80Å,138Å,142Å,160Å,276Å,284Å,1c8h,
423,,X-RAY DIFFRACTION,1,3.25,60,-480 e- per virion,"10,390.3 Å² × 60",81Å,138Å,143Å,162Å,276Å,286Å,1ijs,P30129
424,,X-RAY DIFFRACTION,1,3.0,60,-540 e- per virion,"11,852.8 Å² × 60",79Å,138Å,142Å,158Å,276Å,284Å,1c8e,1655459
425,,X-RAY DIFFRACTION,1,3.0,60,,"11,779.4 Å² × 60",79Å,138Å,142Å,158Å,276Å,284Å,1c8f,1655459
426,,X-RAY DIFFRACTION,1,3.0,60,-480 e- per virion,"11,612.3 Å² × 60",80Å,139Å,143Å,160Å,278Å,286Å,1c8g,
427,,X-RAY DIFFRACTION,1,3.3,60,-480 e- per virion,"11,302.2 Å² × 60",80Å,139Å,143Å,160Å,278Å,286Å,1fpv,P24840
428,,X-RAY DIFFRACTION,1,3.5,60,-240 e- per virion,"10,483.4 Å² × 60",82Å,138Å,143Å,164Å,276Å,286Å,1mvm,P07302
429,,X-RAY DIFFRACTION,1,3.5,60,-240 e- per virion,"9,622.2 Å² × 60",81Å,137Å,142Å,162Å,274Å,284Å,1k3v,P18546
430,Animal,X-RAY DIFFRACTION,1,2.7,60,-420 e- per virion,"10,247.3 Å² × 60",83Å,140Å,145Å,166Å,280Å,290Å,4g0r,
431,Animal,X-RAY DIFFRACTION,1,3.2,60,,,82Å,139Å,144Å,164Å,278Å,288Å,4gbt,
432,,X-RAY DIFFRACTION,1,3.25,60,-240 e- per virion,"10,587.7 Å² × 60",82Å,140Å,145Å,164Å,280Å,290Å,1z14,9627000
433,Human,ELECTRON MICROSCOPY,1,3.2,60,-360 e- per virion,"18,039.6 Å² × 60",84Å,156Å,157Å,168Å,312Å,314Å,6mf7,
434,Animal,X-RAY DIFFRACTION,1,2.5,60,+60 e- per virion,"6,602.5 Å² × 60",76Å,115Å,123Å,152Å,230Å,246Å,3n7x,Q9E2G5
435,Animal,ELECTRON MICROSCOPY,1,3.17,60,-480 e- per virion,"10,279.0 Å² × 60",82Å,138Å,143Å,164Å,276Å,286Å,6b9q,
436,Human,ELECTRON MICROSCOPY,1,2.84,60,-180 e- per virion,"10,658.4 Å² × 60",82Å,137Å,141Å,164Å,274Å,282Å,6bwx,
437,Human,ELECTRON MICROSCOPY,1,3.79,60,-360 e- per virion,"10,548.5 Å² × 60",81Å,139Å,140Å,162Å,278Å,280Å,6bx0,
438,Human,ELECTRON MICROSCOPY,1,3.25,60,-420 e- per virion,"10,632.0 Å² × 60",83Å,139Å,142Å,166Å,278Å,284Å,6bx1,
439,Animals,ELECTRON MICROSCOPY,1,2.4,60,-120 e- per virion,"19,450.2 Å² × 60",80Å,172Å,180Å,160Å,344Å,360Å,7m3n,7M3N
440,Animals,ELECTRON MICROSCOPY,1,3.2,60,-240 e- per virion,"19,291.4 Å² × 60",80Å,171Å,179Å,160Å,342Å,358Å,7m3l,
441,Animals,ELECTRON MICROSCOPY,1,2.26,60,-300 e- per virion,"10,498.7 Å² × 60",81Å,139Å,143Å,162Å,278Å,286Å,7m3m,B2ZG07
442,Animals,ELECTRON MICROSCOPY,1,2.4,60,-540 e- per virion,"10,470.1 Å² × 60",81Å,139Å,143Å,162Å,278Å,286Å,7m3o,B2ZG07
443,Animal,X-RAY DIFFRACTION,1,3.5,60,-300 e- per virion,"11,026.8 Å² × 60",79Å,138Å,142Å,158Å,276Å,284Å,4qyk,
444,Human,X-RAY DIFFRACTION,1,2.87,60,-420 e- per virion,"10,311.3 Å² × 60",83Å,139Å,140Å,166Å,278Å,280Å,6x2i,
445,Human,X-RAY DIFFRACTION,1,2.88,60,-240 e- per virion,"11,942.0 Å² × 60",80Å,143Å,143Å,160Å,286Å,286Å,6x2k,
446,Animal,X-RAY DIFFRACTION,1,3.5,60,-240 e- per virion,"10,505.3 Å² × 60",83Å,140Å,144Å,166Å,280Å,288Å,1z1c,
447,Human,ELECTRON MICROSCOPY,1,3.0,60,-480 e- per virion,"11,866.5 Å² × 60",81Å,140Å,145Å,162Å,280Å,290Å,6oas,Q11213
448,Animal,X-RAY DIFFRACTION,1,3.8,60,-60 e- per virion,"9,657.2 Å² × 60",82Å,139Å,142Å,164Å,278Å,284Å,4zpy,Q84367
449,Animal,X-RAY DIFFRACTION,1,4.2,60,-300 e- per virion,"10,560.3 Å² × 60",82Å,139Å,143Å,164Å,278Å,286Å,2xgk,
450,,ELECTRON MICROSCOPY,1,3.89,60,+120 e- per virion,"9,225.1 Å² × 60",81Å,136Å,140Å,162Å,272Å,280Å,6nf9,6NF9
451,Humans,ELECTRON MICROSCOPY,2,2.63,120,-1140 e- per virion,"23,289.6 Å² × 60",133Å,186Å,192Å,266Å,372Å,384Å,6z8d,
452,Humans,ELECTRON MICROSCOPY,2,2.8,120,-1140 e- per virion,"20,059.1 Å² × 60",137Å,186Å,193Å,274Å,372Å,386Å,6z8f,Q50LE5
453,Humans,ELECTRON MICROSCOPY,2,2.8,120,-1020 e- per virion,"19,624.6 Å² × 60",137Å,186Å,193Å,274Å,372Å,386Å,6z8e,Q50LE5
454,Animal,X-RAY DIFFRACTION,2,3.4,120,-1140 e- per virion,"21,476.8 Å² × 60",131Å,187Å,191Å,262Å,374Å,382Å,2vf1,
455,Humans,ELECTRON MICROSCOPY,pT3,3.13,60,+180 e- per virion,"24,364.2 Å² × 60",105Å,185Å,193Å,210Å,370Å,386Å,7x49,7X49
456,Bacteria,ELECTRON MICROSCOPY,7l,3.5,420,-1320 e- per virion,"72,252.1 Å² × 60",263Å,324Å,338Å,526Å,648Å,676Å,3j4u,Q775C7
457,Bacteria,ELECTRON MICROSCOPY,7l,4.5,420,-1260 e- per virion,"104,292.2 Å² × 60",266Å,333Å,342Å,532Å,666Å,684Å,3j40,Q858G5
458,,CRYO-ELECTRON MICROSCOPY,7l,4.5,420,-540 e- per virion,"112,267.6 Å² × 60",268Å,321Å,334Å,536Å,642Å,668Å,3c5b,Q858G8
459,Bacteria,ELECTRON MICROSCOPY,7l,3.8,420,,"124,520.3 Å² × 60",232Å,298Å,302Å,464Å,596Å,604Å,2xyy,A8CGC7
460,Bacteria,ELECTRON MICROSCOPY,7l,4.0,420,,"135,766.9 Å² × 60",265Å,332Å,340Å,530Å,664Å,680Å,2xyz,A8CGC7
461,Bacteria,ELECTRON MICROSCOPY,7l,9.1,420,-600 e- per virion,"107,146.1 Å² × 60",231Å,294Å,300Å,462Å,588Å,600Å,3iyi,
462,Bacteria,ELECTRON MICROSCOPY,7l,8.2,420,-420 e- per virion,"103,688.4 Å² × 60",264Å,317Å,322Å,528Å,634Å,644Å,3iyh,P26747
463,Bacteria,ELECTRON MICROSCOPY,7l,3.3,420,-900 e- per virion,"75,937.9 Å² × 60",267Å,331Å,343Å,534Å,662Å,686Å,5uu5,P26747
464,Bacteria,ELECTRON MICROSCOPY,7l,2.89,420,+240 e- per virion,"73,972.3 Å² × 60",266Å,327Å,345Å,532Å,654Å,690Å,5l35,Q716H0
465,Bacteria,ELECTRON MICROSCOPY,3,7.9,180,,,179Å,224Å,227Å,358Å,448Å,454Å,1yxn,
466,Bacteria,ELECTRON MICROSCOPY,9,2.7,540,,"113,790.4 Å² × 60",293Å,366Å,379Å,586Å,732Å,758Å,7dn2,
467,Bacteria,ELECTRON MICROSCOPY,9,3.0,540,,"113,474.2 Å² × 60",294Å,365Å,376Å,588Å,730Å,752Å,7f2p,I7HFY0
468,Bacteria,ELECTRON MICROSCOPY,7l,10.9,420,-1140 e- per virion,"55,876.3 Å² × 60",215Å,264Å,274Å,430Å,528Å,548Å,3izg,P19726
469,Bacteria,ELECTRON MICROSCOPY,7l,5.7,420,-900 e- per virion,"109,913.5 Å² × 60",269Å,320Å,332Å,538Å,640Å,664Å,4bml,
470,Bacteria,ELECTRON MICROSCOPY,7l,4.5,420,+60 e- per virion,"79,792.8 Å² × 60",213Å,277Å,283Å,426Å,554Å,566Å,3j7v,P19726
471,Bacteria,ELECTRON MICROSCOPY,7l,3.5,420,-1620 e- per virion,"64,460.3 Å² × 60",265Å,319Å,332Å,530Å,638Å,664Å,3j7w,P19726
472,Bacteria,ELECTRON MICROSCOPY,7l,3.8,420,-1320 e- per virion,"68,413.1 Å² × 60",261Å,319Å,332Å,522Å,638Å,664Å,3j7x,P19726
473,Bacteria,ELECTRON MICROSCOPY,7l,16.0,420,,,275Å,332Å,335Å,550Å,664Å,670Å,3j1a,3J1A
474,Bacteria,ELECTRON MICROSCOPY,7l,10.8,420,+780 e- per virion,"59,834.1 Å² × 60",261Å,313Å,329Å,522Å,626Å,658Å,2xvr,P19726
475,Bacteria,ELECTRON MICROSCOPY,7l,4.6,420,,"116,859.9 Å² × 60",254Å,309Å,327Å,508Å,618Å,654Å,2xd8,Q58N30
476,Humans,ELECTRON MICROSCOPY,7d,3.4,360,-240 e- per virion,"63,449.3 Å² × 60",174Å,249Å,253Å,348Å,498Å,506Å,6zml,B0G0W3
477,Humans,X-RAY DIFFRACTION,7d,3.52,360,+120 e- per virion,"67,940.8 Å² × 60",174Å,249Å,252Å,348Å,498Å,504Å,6zlz,B0G0W3
478,Human,ELECTRON MICROSCOPY,7d,4.24,360,-1440 e- per virion,"63,925.2 Å² × 60",185Å,256Å,265Å,370Å,512Å,530Å,6gg0,
479,Human,ELECTRON MICROSCOPY,7d,3.4,360,-1200 e- per virion,"51,490.4 Å² × 60",180Å,248Å,250Å,360Å,496Å,500Å,6esb,
480,Human,ELECTRON MICROSCOPY,7d,7.6,360,-1260 e- per virion,"55,182.4 Å² × 60",183Å,245Å,247Å,366Å,490Å,494Å,5fua,
481,Animal,ELECTRON MICROSCOPY,7d,11.3,360,,"71,559.5 Å² × 60",175Å,251Å,255Å,350Å,502Å,510Å,3iys,P13891
482,,X-RAY DIFFRACTION,7d,3.65,360,-1080 e- per virion,"60,355.2 Å² × 60",174Å,252Å,255Å,348Å,504Å,510Å,1sid,P49302
483,,X-RAY DIFFRACTION,7d,3.65,360,-1020 e- per virion,"59,744.8 Å² × 60",175Å,252Å,255Å,350Å,504Å,510Å,1sie,P49302
484,,X-RAY DIFFRACTION,7d,3.1,360,-1080 e- per virion,"48,319.3 Å² × 60",179Å,246Å,247Å,358Å,492Å,494Å,1sva,P03087
485,Archaea,ELECTRON MICROSCOPY,43,3.7,2580,,,382Å,447Å,467Å,764Å,894Å,934Å,6oj0,A0A1W6I187
486,Animal,ELECTRON MICROSCOPY,pT3,3.91,60,-180 e- per virion,"19,461.6 Å² × 60",107Å,172Å,183Å,214Å,344Å,366Å,7fej,7FEJ
487,Aminal,ELECTRON MICROSCOPY,pT3,3.91,60,-120 e- per virion,"19,076.5 Å² × 60",107Å,174Å,182Å,214Å,348Å,364Å,7fei,E7D639
488,Animal,ELECTRON MICROSCOPY,pT3,3.1,60,-480 e- per virion,"12,288.5 Å² × 60",110Å,149Å,152Å,220Å,298Å,304Å,5ned,E6Y5R5
489,Animal,ELECTRON MICROSCOPY,pT3,3.1,60,-60 e- per virion,"12,795.3 Å² × 60",109Å,149Å,152Å,218Å,298Å,304Å,5nej,
490,Animal,X-RAY DIFFRACTION,pT3,3.0,60,,"11,416.1 Å² × 60",112Å,149Å,151Å,224Å,298Å,302Å,4gh4,
491,Animal,X-RAY DIFFRACTION,pT3,2.3,60,-240 e- per virion,"12,067.7 Å² × 60",110Å,149Å,152Å,220Å,298Å,304Å,5ne4,A0A1B0SZV3
492,Human,X-RAY DIFFRACTION,pT3,3.5,60,,"12,531.9 Å² × 60",110Å,149Å,151Å,220Å,298Å,302Å,5ddj,
493,Animal,X-RAY DIFFRACTION,pT3,2.1,60,-60 e- per virion,"11,769.3 Å² × 60",111Å,149Å,151Å,222Å,298Å,302Å,4iv1,
494,Animal,X-RAY DIFFRACTION,pT3,2.9,60,,"11,281.2 Å² × 60",114Å,149Å,151Å,228Å,298Å,302Å,4iv3,
495,Human,X-RAY DIFFRACTION,pT3,2.4,60,-120 e- per virion,"11,853.5 Å² × 60",111Å,149Å,151Å,222Å,298Å,302Å,5d8a,
496,Animal,X-RAY DIFFRACTION,pT3,4.0,60,-240 e- per virion,"11,151.7 Å² × 60",112Å,154Å,157Å,224Å,308Å,314Å,2wff,
497,Animal,X-RAY DIFFRACTION,pT3,3.0,60,-300 e- per virion,"11,314.8 Å² × 60",114Å,157Å,159Å,228Å,314Å,318Å,2ws9,
498,Animal,X-RAY DIFFRACTION,pT3,4.0,60,-360 e- per virion,"11,409.3 Å² × 60",114Å,157Å,159Å,228Å,314Å,318Å,2xbo,
499,Animals,ELECTRON MICROSCOPY,pT3,3.1,60,,"15,453.8 Å² × 60",108Å,170Å,177Å,216Å,340Å,354Å,7dst,7DST
500,,X-RAY DIFFRACTION,pT3,1.9,60,-300 e- per virion,"12,355.4 Å² × 60",110Å,150Å,152Å,220Å,300Å,304Å,1qqp,
501,,X-RAY DIFFRACTION,pT3,2.6,60,-180 e- per virion,"12,000.1 Å² × 60",111Å,149Å,152Å,222Å,298Å,304Å,1bbt,P03305
502,,X-RAY DIFFRACTION,pT3,2.6,60,-300 e- per virion,"12,004.5 Å² × 60",110Å,150Å,152Å,220Å,300Å,304Å,1fod,P03305
503,Animal,ELECTRON MICROSCOPY,pT3,3.49,60,,"22,865.6 Å² × 60",108Å,200Å,201Å,216Å,400Å,402Å,7d3r,7D3R
504,Animals,ELECTRON MICROSCOPY,pT3,3.9,60,+180 e- per virion,"20,149.6 Å² × 60",108Å,178Å,179Å,216Å,356Å,358Å,7d3k,
505,Animals,ELECTRON MICROSCOPY,pT3,3.75,60,-60 e- per virion,"19,232.6 Å² × 60",108Å,178Å,184Å,216Å,356Å,368Å,7eo0,7EO0
506,Animal,ELECTRON MICROSCOPY,pT3,3.68,60,+60 e- per virion,"22,994.8 Å² × 60",109Å,208Å,213Å,218Å,416Å,426Å,7d3l,7D3L
507,Animals,ELECTRON MICROSCOPY,pT3,3.94,60,-60 e- per virion,"22,941.1 Å² × 60",108Å,200Å,203Å,216Å,400Å,406Å,7d3m,7D3M
508,,X-RAY DIFFRACTION,pT3,3.5,60,,"11,901.4 Å² × 60",110Å,149Å,151Å,220Å,298Å,302Å,1fmd,P15072
509,,CRYO-ELECTRON MICROSCOPY,pT3,30.0,60,-60 e- per virion,"28,365.4 Å² × 60",114Å,214Å,216Å,228Å,428Å,432Å,1qgc,AAA42665
510,Animal,X-RAY DIFFRACTION,pT3,3.0,60,-60 e- per virion,"13,316.3 Å² × 60",109Å,149Å,152Å,218Å,298Å,304Å,1zbe,Q84769
511,Animal,X-RAY DIFFRACTION,pT3,2.0,60,-60 e- per virion,"12,868.8 Å² × 60",110Å,150Å,152Å,220Å,300Å,304Å,1zba,Q84769
